Name,City,County,Enrollment,Founded
Humboldt State University,Arcata,Humboldt,"7,774",1913
"California State University, Bakersfield",Bakersfield,Kern,"10,493",1965
"University of California, Berkeley",Berkeley,Alameda,"42,519",1869
California State University Channel Islands,Camarillo,Ventura,"7,095",2002
"California State University, Dominguez Hills",Carson,Los Angeles,"15,741",1960
"California State University, Chico",Chico,Butte,"17,488",1887
"University of California, Davis",Davis,Yolo,"39,152",1905
"California State University, Fresno",Fresno,Fresno,"24,995",1911
"California State University, Fullerton",Fullerton,Orange,"39,774",1957
"California State University, East Bay",Hayward,Alameda,"14,525",1959
"University of California, Irvine",Irvine,Orange,"35,220",1965
"California State University, Long Beach",Long Beach,Los Angeles,"36,846",1949
"California State University, Los Angeles",Los Angeles,Los Angeles,"27,685",1947
"University of California, Los Angeles",Los Angeles,Los Angeles,"45,428",1882
"University of California, Merced",Merced,Merced,"8,544",2005
"California State University, Northridge",Northridge,Los Angeles,"38,716",1958
"California State Polytechnic University, Pomona",Pomona,Los Angeles,"26,443",1938
"University of California, Riverside",Riverside,Riverside,"23,278",1954
Sonoma State University,Rohnert Park,Sonoma,"9,201",1960
"California State University, Sacramento",Sacramento,Sacramento,"31,131",1947
"California State University, San Bernardino",San Bernardino,San Bernardino,"19,973",1965
"University of California, San Diego",San Diego,San Diego,"38,798",1960
San Diego State University,San Diego,San Diego,"34,881",1897
San Francisco State University,San Francisco,San Francisco,"29,586",1899
San Jose State University,San Jose,Santa Clara,"32,828",1857
California Polytechnic State University,San Luis Obispo,San Luis Obispo,"21,812",1901
California State University San Marcos,San Marcos,San Diego,"14,511",1988
"University of California, Santa Barbara",Santa Barbara,Santa Barbara,"24,346",1891
"University of California, Santa Cruz",Santa Cruz,Santa Cruz,"19,700",1965
"California State University, Monterey Bay",Seaside-Marina,Monterey,"7,079",1994
"California State University, Stanislaus",Turlock,Stanislaus,"10,214",1957
California State University Maritime Academy,Vallejo,Solano,"1,017",1929
